ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
8|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2318|NA
8|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3063|NA
8|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11597|NA
8|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2620|NA
8|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2708|NA
8|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|75|NA
8|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4624|NA
8|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2659|NA
8|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2185|NA
8|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8337|NA
8|java|pubspec.lock|native|NA|NA|NA|NA|NA|NA|NA|NA|63|NA
8|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5291|NA
8|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9040|NA
9|java|revcomp|native|NA|NA|NA|NA|NA|NA|NA|NA|2316|NA
9|java|nbody|native|NA|NA|NA|NA|NA|NA|NA|NA|3051|NA
9|java|binary_tree|native|NA|NA|NA|NA|NA|NA|NA|NA|11565|NA
9|java|regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|2604|NA
9|java|knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|2812|NA
9|java|pidigits|native|NA|NA|NA|NA|NA|NA|NA|NA|74|NA
9|java|fastaredux|native|NA|NA|NA|NA|NA|NA|NA|NA|4658|NA
9|java|regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|2180|NA
9|java|Havlak|native|NA|NA|NA|NA|NA|NA|NA|NA|2191|NA
9|java|fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|8339|NA
9|java|fannkuch_redux|native|NA|NA|NA|NA|NA|NA|NA|NA|5290|NA
9|java|spectral_norm|native|NA|NA|NA|NA|NA|NA|NA|NA|9098|NA
