Language,Benchmark,Transform,Platform,NewMethod,EsMode,JsArgs,Estimator,TimePerElapsed,YieldInterval,ResampleInterval,RunningTime,NumYields
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4624,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2659,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2185,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8337,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5291,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9040,NA
dart_dart2js,revcomp,native,NA,NA,NA,NA,NA,NA,NA,NA,2316,NA
dart_dart2js,nbody,native,NA,NA,NA,NA,NA,NA,NA,NA,3051,NA
dart_dart2js,binary_tree,native,NA,NA,NA,NA,NA,NA,NA,NA,11565,NA
dart_dart2js,regexredux,native,NA,NA,NA,NA,NA,NA,NA,NA,2604,NA
dart_dart2js,knucleotide,native,NA,NA,NA,NA,NA,NA,NA,NA,2812,NA
dart_dart2js,pidigits,native,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
dart_dart2js,fastaredux,native,NA,NA,NA,NA,NA,NA,NA,NA,4658,NA
dart_dart2js,regexdna,native,NA,NA,NA,NA,NA,NA,NA,NA,2180,NA
dart_dart2js,Havlak,native,NA,NA,NA,NA,NA,NA,NA,NA,2191,NA
dart_dart2js,fasta,native,NA,NA,NA,NA,NA,NA,NA,NA,8339,NA
dart_dart2js,fannkuch_redux,native,NA,NA,NA,NA,NA,NA,NA,NA,5290,NA
dart_dart2js,spectral_norm,native,NA,NA,NA,NA,NA,NA,NA,NA,9098,NA
