ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
8|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|572|NA
8|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1862|NA
8|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|1089|NA
8|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|562|NA
8|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|3609|NA
8|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|896|NA
8|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|300|NA
8|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|39817|NA
8|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2019|NA
9|scala|Regexdna|native|NA|NA|NA|NA|NA|NA|NA|NA|459|NA
9|scala|Regexredux|native|NA|NA|NA|NA|NA|NA|NA|NA|445|NA
9|scala|BinaryTrees|native|NA|NA|NA|NA|NA|NA|NA|NA|6402|NA
9|scala|LongMicro|native|NA|NA|NA|NA|NA|NA|NA|NA|2816|NA
9|scala|Knucleotide|native|NA|NA|NA|NA|NA|NA|NA|NA|560|NA
9|scala|Spectralnorm|native|NA|NA|NA|NA|NA|NA|NA|NA|1740|NA
9|scala|Meteor|native|NA|NA|NA|NA|NA|NA|NA|NA|903|NA
9|scala|Fasta|native|NA|NA|NA|NA|NA|NA|NA|NA|549|NA
9|scala|Tracer|native|NA|NA|NA|NA|NA|NA|NA|NA|4340|NA
9|scala|Pidigits3|native|NA|NA|NA|NA|NA|NA|NA|NA|835|NA
9|scala|FastaRedux|native|NA|NA|NA|NA|NA|NA|NA|NA|365|NA
9|scala|Fannkuchredux|native|NA|NA|NA|NA|NA|NA|NA|NA|39908|NA
9|scala|Mandelbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|2003|NA
