ix|lang|bench|platform|transform|new_method|es_mode|js_args|estimator|time_per_elapsed|yield_interval|resample_interval|running_time|num_yields
6|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
6|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1113|NA
6|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|78|NA
6|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|291|NA
6|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
6|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1741|NA
6|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
6|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
6|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7077|NA
6|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|48141|NA
6|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41602|NA
6|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34138|NA
6|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14183|NA
6|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|122257|NA
7|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1616|NA
7|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|15|NA
7|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1069|NA
7|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|80|NA
7|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|292|NA
7|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|15|NA
7|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1732|NA
7|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|17|NA
7|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|16|NA
7|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7244|NA
7|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|46882|NA
7|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41576|NA
7|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34750|NA
7|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14368|NA
7|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|121177|NA
8|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1617|NA
8|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
8|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1064|NA
8|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|70|NA
8|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|292|NA
8|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
8|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1653|NA
8|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
8|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
8|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7160|NA
8|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|49151|NA
8|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|41708|NA
8|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34918|NA
8|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|14172|NA
8|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|120128|NA
9|scheme|ack|native|NA|NA|NA|NA|NA|NA|NA|NA|1686|NA
9|scheme|array1|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
9|scheme|boyer|native|NA|NA|NA|NA|NA|NA|NA|NA|1079|NA
9|scheme|browse|native|NA|NA|NA|NA|NA|NA|NA|NA|81|NA
9|scheme|conform|native|NA|NA|NA|NA|NA|NA|NA|NA|275|NA
9|scheme|dderiv|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
9|scheme|destruc|native|NA|NA|NA|NA|NA|NA|NA|NA|1731|NA
9|scheme|diviter|native|NA|NA|NA|NA|NA|NA|NA|NA|13|NA
9|scheme|divrec|native|NA|NA|NA|NA|NA|NA|NA|NA|12|NA
9|scheme|earley|native|NA|NA|NA|NA|NA|NA|NA|NA|7138|NA
9|scheme|fft|native|NA|NA|NA|NA|NA|NA|NA|NA|48768|NA
9|scheme|fib|native|NA|NA|NA|NA|NA|NA|NA|NA|42603|NA
9|scheme|lattice|native|NA|NA|NA|NA|NA|NA|NA|NA|34171|NA
9|scheme|mazefun|native|NA|NA|NA|NA|NA|NA|NA|NA|13969|NA
9|scheme|mbrot|native|NA|NA|NA|NA|NA|NA|NA|NA|121696|NA
